Student_ID,College,Year_Level,Prior_GWA,Final_Grade,Reading_Dependency_Score,Writing_Dependency_Score,Numeracy_Dependency_Score,Motivation_Score,Environment_Score,AI_Dependency_Index,AI_Sessions_Week,Avg_Session_Duration_Min,AI_Tools_Count,Primary_AI_Tool,Usage_Purpose_Buckets,Study_Hours_Per_Week,Assignment_Submission_Punctuality,LMS_Activity_Level,Grade_Improvement_Delta,High_Risk_Flag
C341,College of Industrial Technology,2,1.55,1.65,8.2,8.5,8.0,2.1,2.6,8.2,19,84,6,ChatGPT,Problem-solving,0,0.46,0,-0.15,1
C342,College of Arts and Sciences,1,1.17,2.25,6.3,6.5,6.2,4.1,3.6,6.3,13,39,6,Grammarly,Proofreading,3,0.76,5,0.15,1
C343,College of International Hospitality and Tourism Management,3,1.13,1.5,7.9,8.0,7.7,1.9,2.2,7.9,17,75,6,Gemini,Summary,0,0.68,0,-0.2,1
C344,College of Criminal Justice Education,4,1.39,2.45,6.4,6.6,6.3,3.8,3.4,6.4,13,41,6,ChatGPT,Brainstorming,3,0.75,6,0.15,1
C345,College of Teacher Education,2,1.59,2.1,6.6,6.9,6.5,3.8,3.4,6.7,15,58,6,ChatGPT,Grammar,1,0.74,1,0.1,1
C346,College of Engineering,1,1.75,2.15,7.4,7.7,7.3,2.6,2.3,7.5,17,69,6,Gemini,Problem-solving,1,0.69,0,-0.15,1
C347,College of Computer Studies,3,1.67,2.15,6.5,6.8,7.1,3.9,3.5,6.8,14,55,6,Grammarly,Essay writing,2,0.75,2,0.15,1
C348,College of Business Administration and Accountancy,2,1.29,2.6,5.6,5.8,5.5,4.3,3.9,5.6,9,32,5,ChatGPT,Research,5,0.8,9,0.05,0
C349,College of Industrial Technology,4,1.22,1.6,8.3,8.6,8.1,2.0,2.5,8.3,20,86,6,ChatGPT,Problem-solving,0,0.44,0,-0.15,1
C350,College of Arts and Sciences,3,1.8,2.2,6.4,6.6,6.3,4.0,3.5,6.4,13,40,6,Grammarly,Proofreading,2,0.75,4,0.15,1
C351,College of International Hospitality and Tourism Management,1,1.29,1.45,8.0,8.1,7.8,1.8,2.1,8.0,18,78,6,Gemini,Summary,0,0.67,0,-0.2,1
C352,College of Criminal Justice Education,2,1.31,2.4,6.5,6.7,6.4,3.7,3.3,6.5,14,42,6,ChatGPT,Brainstorming,2,0.74,5,0.15,1
C353,College of Teacher Education,4,1.49,2.05,6.7,7.0,6.6,3.7,3.3,6.8,15,60,6,ChatGPT,Grammar,1,0.73,0,0.1,1
C354,College of Engineering,3,1.03,2.1,7.5,7.8,7.4,2.5,2.2,7.6,18,71,6,Gemini,Problem-solving,0,0.68,0,-0.15,1
C355,College of Computer Studies,1,1.8,2.1,6.6,6.9,7.2,3.8,3.4,6.9,15,57,6,Grammarly,Essay writing,1,0.74,1,0.15,1
C356,College of Business Administration and Accountancy,4,1.22,2.55,5.7,5.9,5.6,4.2,3.8,5.7,9,33,5,ChatGPT,Research,4,0.79,8,0.05,1
C357,College of Industrial Technology,2,1.24,1.55,8.4,8.7,8.2,1.9,2.4,8.4,20,88,6,ChatGPT,Problem-solving,0,0.42,0,-0.15,1
C358,College of Arts and Sciences,1,1.21,2.15,6.5,6.7,6.4,3.9,3.4,6.5,14,41,6,Grammarly,Proofreading,2,0.74,3,0.15,1
C359,College of International Hospitality and Tourism Management,3,1.22,1.4,8.1,8.2,7.9,1.7,2.0,8.1,18,80,6,Gemini,Summary,0,0.66,0,-0.2,1
C360,College of Criminal Justice Education,4,1.29,2.35,6.6,6.8,6.5,3.6,3.2,6.6,14,43,6,ChatGPT,Brainstorming,2,0.73,4,0.15,1
C361,College of Teacher Education,2,1.02,2.0,6.8,7.1,6.7,3.6,3.2,6.9,16,62,6,ChatGPT,Grammar,0,0.72,0,0.1,1
C362,College of Engineering,1,1.3,2.05,7.6,7.9,7.5,2.4,2.1,7.7,18,73,6,Gemini,Problem-solving,0,0.67,0,-0.15,1
C363,College of Computer Studies,3,1.02,2.05,6.7,7.0,7.3,3.7,3.3,7.0,15,59,6,Grammarly,Essay writing,1,0.73,0,0.15,1
C364,College of Business Administration and Accountancy,2,1.78,2.5,5.8,6.0,5.7,4.1,3.7,5.8,9,34,5,ChatGPT,Research,4,0.78,7,0.05,1
C365,College of Industrial Technology,4,1.26,1.5,8.5,8.8,8.3,1.8,2.3,8.5,21,90,6,ChatGPT,Problem-solving,0,0.4,0,-0.15,1
C366,College of Arts and Sciences,3,1.05,2.1,6.6,6.8,6.5,3.8,3.3,6.6,14,42,6,Grammarly,Proofreading,1,0.73,2,0.15,1
C367,College of International Hospitality and Tourism Management,1,1.25,1.35,8.2,8.3,8.0,1.6,1.9,8.2,19,83,6,Gemini,Summary,0,0.65,0,-0.2,1
C368,College of Criminal Justice Education,2,1.03,2.3,6.7,6.9,6.6,3.5,3.1,6.7,15,44,6,ChatGPT,Brainstorming,1,0.72,3,0.15,1
C369,College of Teacher Education,4,1.31,1.95,6.9,7.2,6.8,3.5,3.1,7.0,16,64,6,ChatGPT,Grammar,0,0.71,0,0.1,1
C370,College of Engineering,3,1.35,2.0,7.7,8.0,7.6,2.3,2.0,7.8,19,75,6,Gemini,Problem-solving,0,0.66,0,-0.15,1
C371,College of Computer Studies,1,1.33,2.0,6.8,7.1,7.4,3.6,3.2,7.1,16,61,6,Grammarly,Essay writing,0,0.72,0,0.15,1
C372,College of Business Administration and Accountancy,4,1.34,2.45,5.9,6.1,5.8,4.0,3.6,5.9,10,35,6,ChatGPT,Research,3,0.77,6,0.05,1
C373,College of Industrial Technology,2,1.04,1.45,8.6,8.9,8.4,1.7,2.2,8.6,21,92,6,ChatGPT,Problem-solving,0,0.38,0,-0.15,1
C374,College of Arts and Sciences,1,1.34,2.05,6.7,6.9,6.6,3.7,3.2,6.7,15,43,6,Grammarly,Proofreading,1,0.72,1,0.15,1
C375,College of International Hospitality and Tourism Management,3,1.2,1.3,8.3,8.4,8.1,1.5,1.8,8.3,19,85,6,Gemini,Summary,0,0.64,0,-0.2,1
C376,College of Criminal Justice Education,4,1.15,2.25,6.8,7.0,6.7,3.4,3.0,6.8,15,45,6,ChatGPT,Brainstorming,1,0.71,2,0.15,1
C377,College of Teacher Education,2,1.04,1.9,7.0,7.3,6.9,3.4,3.0,7.1,17,66,6,ChatGPT,Grammar,0,0.7,0,0.1,1
C378,College of Engineering,1,1.07,1.95,7.8,8.1,7.7,2.2,1.9,7.9,19,77,6,Gemini,Problem-solving,0,0.65,0,-0.15,1
C379,College of Computer Studies,3,1.34,1.95,6.9,7.2,7.5,3.5,3.1,7.2,16,63,6,Grammarly,Essay writing,0,0.71,0,0.15,1
C380,College of Business Administration and Accountancy,2,1.14,2.4,6.0,6.2,5.9,3.9,3.5,6.0,10,36,6,ChatGPT,Research,3,0.76,5,0.05,1
C381,College of Industrial Technology,4,1.32,1.4,8.7,9.0,8.5,1.6,2.1,8.7,22,94,6,ChatGPT,Problem-solving,0,0.36,0,-0.15,1
